organism,antibiotic,region,date,forecast
e_faecalis,Glycopeptides,East Midlands,2025-08-01,2.0722768
e_faecalis,Glycopeptides,East Midlands,2025-10-01,1.9293705
e_faecalis,Glycopeptides,East Midlands,2025-12-01,3.0097122
e_faecalis,Glycopeptides,East Midlands,2026-02-01,3.2407463
e_faecalis,Glycopeptides,East Midlands,2026-04-01,3.4341977
e_faecalis,Glycopeptides,East Midlands,2026-06-01,3.1996186
e_faecalis,Glycopeptides,East of England,2025-08-01,5.5272827
e_faecalis,Glycopeptides,East of England,2025-10-01,3.659417
e_faecalis,Glycopeptides,East of England,2025-12-01,3.985459
e_faecalis,Glycopeptides,East of England,2026-02-01,3.924536
e_faecalis,Glycopeptides,East of England,2026-04-01,4.4530096
e_faecalis,Glycopeptides,East of England,2026-06-01,4.509228
e_faecalis,Glycopeptides,London,2025-08-01,2.8642237
e_faecalis,Glycopeptides,London,2025-10-01,2.7039146
e_faecalis,Glycopeptides,London,2025-12-01,2.5657694
e_faecalis,Glycopeptides,London,2026-02-01,2.1798935
e_faecalis,Glycopeptides,London,2026-04-01,1.967778
e_faecalis,Glycopeptides,London,2026-06-01,1.8806405
e_faecalis,Glycopeptides,North East,2025-08-01,0.22953199
e_faecalis,Glycopeptides,North East,2025-10-01,0.41692778
e_faecalis,Glycopeptides,North East,2025-12-01,0.6723019
e_faecalis,Glycopeptides,North East,2026-02-01,0.7076154
e_faecalis,Glycopeptides,North East,2026-04-01,0.68932974
e_faecalis,Glycopeptides,North East,2026-06-01,0.57826066
e_faecalis,Glycopeptides,North West,2025-08-01,2.2159774
e_faecalis,Glycopeptides,North West,2025-10-01,2.608267
e_faecalis,Glycopeptides,North West,2025-12-01,3.0260172
e_faecalis,Glycopeptides,North West,2026-02-01,2.8803601
e_faecalis,Glycopeptides,North West,2026-04-01,2.666228
e_faecalis,Glycopeptides,North West,2026-06-01,2.445183
e_faecalis,Glycopeptides,South East,2025-08-01,5.173393
e_faecalis,Glycopeptides,South East,2025-10-01,4.87826
e_faecalis,Glycopeptides,South East,2025-12-01,4.5892167
e_faecalis,Glycopeptides,South East,2026-02-01,4.4949474
e_faecalis,Glycopeptides,South East,2026-04-01,4.543465
e_faecalis,Glycopeptides,South East,2026-06-01,4.6484747
e_faecalis,Glycopeptides,South West,2025-08-01,3.0871603
e_faecalis,Glycopeptides,South West,2025-10-01,3.6720798
e_faecalis,Glycopeptides,South West,2025-12-01,2.2253702
e_faecalis,Glycopeptides,South West,2026-02-01,1.9009947
e_faecalis,Glycopeptides,South West,2026-04-01,1.8152677
e_faecalis,Glycopeptides,South West,2026-06-01,2.05477
e_faecalis,Glycopeptides,West Midlands,2025-08-01,0.41114944
e_faecalis,Glycopeptides,West Midlands,2025-10-01,0.4933877
e_faecalis,Glycopeptides,West Midlands,2025-12-01,0.6365594
e_faecalis,Glycopeptides,West Midlands,2026-02-01,0.66945034
e_faecalis,Glycopeptides,West Midlands,2026-04-01,0.66247517
e_faecalis,Glycopeptides,West Midlands,2026-06-01,0.6400245
e_faecalis,Glycopeptides,Yorkshire and Humber,2025-08-01,6.2660694
e_faecalis,Glycopeptides,Yorkshire and Humber,2025-10-01,5.2228913
e_faecalis,Glycopeptides,Yorkshire and Humber,2025-12-01,5.7762637
e_faecalis,Glycopeptides,Yorkshire and Humber,2026-02-01,6.1962986
e_faecalis,Glycopeptides,Yorkshire and Humber,2026-04-01,6.47205
e_faecalis,Glycopeptides,Yorkshire and Humber,2026-06-01,6.211433
e_faecium,Glycopeptides,East Midlands,2025-08-01,36.54088
e_faecium,Glycopeptides,East Midlands,2025-10-01,36.339188
e_faecium,Glycopeptides,East Midlands,2025-12-01,36.174812
e_faecium,Glycopeptides,East Midlands,2026-02-01,36.30935
e_faecium,Glycopeptides,East Midlands,2026-04-01,36.249897
e_faecium,Glycopeptides,East Midlands,2026-06-01,37.08013
e_faecium,Glycopeptides,East of England,2025-08-01,43.48766
e_faecium,Glycopeptides,East of England,2025-10-01,42.196533
e_faecium,Glycopeptides,East of England,2025-12-01,42.49516
e_faecium,Glycopeptides,East of England,2026-02-01,43.7722
e_faecium,Glycopeptides,East of England,2026-04-01,44.682735
e_faecium,Glycopeptides,East of England,2026-06-01,45.793816
e_faecium,Glycopeptides,London,2025-08-01,45.594173
e_faecium,Glycopeptides,London,2025-10-01,44.52856
e_faecium,Glycopeptides,London,2025-12-01,43.084793
e_faecium,Glycopeptides,London,2026-02-01,42.598083
e_faecium,Glycopeptides,London,2026-04-01,42.96665
e_faecium,Glycopeptides,London,2026-06-01,42.82547
e_faecium,Glycopeptides,North East,2025-08-01,16.75515
e_faecium,Glycopeptides,North East,2025-10-01,17.853485
e_faecium,Glycopeptides,North East,2025-12-01,18.015818
e_faecium,Glycopeptides,North East,2026-02-01,18.32735
e_faecium,Glycopeptides,North East,2026-04-01,17.96615
e_faecium,Glycopeptides,North East,2026-06-01,17.494862
e_faecium,Glycopeptides,North West,2025-08-01,41.880123
e_faecium,Glycopeptides,North West,2025-10-01,40.32836
